domainname,asn_nr,nr_src,nr_asn,status
comlaude.ch,33064.0,,,legitimate
infomaniak.ch,30685.0,,,legitimate
google.ch,26608.0,,,legitimate
cern.ch,26539.0,,,legitimate
hostpoint.ch,26481.0,,,legitimate
noris.ch,26046.0,,,legitimate
in-addr.ch,25918.0,,,legitimate
switch.ch,25811.0,,,legitimate
scs-ns.ch,25446.0,,,legitimate
glipac.ch,25217.0,,,legitimate
nic.ch,24970.0,,,legitimate
name-servers.ch,24949.0,,,legitimate
bluewin.ch,24909.0,,,legitimate
admin.ch,24480.0,,,legitimate
sunrise.ch,24358.0,,,legitimate
exoscale.ch,24189.0,,,legitimate
protonmail.ch,23176.0,,,legitimate
migros.ch,22762.0,,,legitimate
cyon.ch,21492.0,,,legitimate
post.ch,21082.0,,,legitimate
nine.ch,20881.0,,,legitimate
hoststar.ch,20666.0,,,legitimate
ethz.ch,20058.0,,,legitimate
itu.ch,20006.0,,,legitimate
srgssr.ch,19665.0,,,legitimate
tophost.ch,19283.0,,,legitimate
metanet.ch,19223.0,,,legitimate
swisscom.ch,19180.0,,,legitimate
sbb.ch,19096.0,,,legitimate
kreativmedia.ch,19080.0,,,legitimate
epfl.ch,18881.0,,,legitimate
swizzonic.ch,18771.0,,,legitimate
uzh.ch,18442.0,,,legitimate
vtx.ch,18361.0,,,legitimate
coop.ch,18337.0,,,legitimate
nzz.ch,18121.0,,,legitimate
gmx.ch,17819.0,,,legitimate
abuse.ch,17686.0,,,legitimate
geberit.ch,17658.0,,,legitimate
dimago.ch,17557.0,,,legitimate
hosttech.ch,17482.0,,,legitimate
bluenet.ch,17470.0,,,legitimate
rhone.ch,17204.0,,,legitimate
porsche.ch,16681.0,,,legitimate
ti.ch,16604.0,,,legitimate
unibe.ch,16519.0,,,legitimate
aletscharena.ch,16457.0,,,legitimate
ti-edu.ch,16353.0,,,legitimate
hostfactory.ch,16333.0,,,legitimate
arenabg.ch,16287.0,,,legitimate
webland.ch,16000.0,,,legitimate
swisssign.ch,15894.0,,,legitimate
hispeed.ch,15584.0,,,legitimate
unibas.ch,15458.0,,,legitimate
unige.ch,15335.0,,,legitimate
trendhosting-net.ch,15334.0,,,legitimate
srf.ch,15298.0,,,legitimate
astro.ch,15293.0,,,legitimate
swissinfo.ch,15199.0,,,legitimate
posteo-dns.ch,15012.0,,,legitimate
20min.ch,15001.0,,,legitimate
inwx.ch,14908.0,,,legitimate
namemaster.ch,14905.0,,,legitimate
unog.ch,14809.0,,,legitimate
unifr.ch,14763.0,,,legitimate
netzone.ch,14533.0,,,legitimate
netplus.ch,14530.0,,,legitimate
mironet.ch,14465.0,,,legitimate
cyberlink.ch,14393.0,,,legitimate
unil.ch,14315.0,,,legitimate
fhnw.ch,14260.0,,,legitimate
ewdns.ch,14191.0,,,legitimate
agrinet.ch,14023.0,,,legitimate
interway.ch,13939.0,,,legitimate
eagledynamics.ch,13798.0,,,legitimate
zer0day.ch,13787.0,,,legitimate
namesrv.ch,13738.0,,,legitimate
opsdns.ch,13617.0,,,legitimate
domains.ch,13608.0,,,legitimate
psi.ch,13566.0,,,legitimate
hitparade.ch,13532.0,,,legitimate
exigo.ch,13451.0,,,legitimate
search.ch,13436.0,,,legitimate
iec.ch,13351.0,,,legitimate
hung.ch,13119.0,,,legitimate
swissns.ch,13040.0,,,legitimate
pinterest.ch,12956.0,,,legitimate
solnet.ch,12943.0,,,legitimate
threema.ch,12887.0,,,legitimate
adslplus.ch,12876.0,,,legitimate
rsi.ch,12852.0,,,legitimate
usi.ch,12840.0,,,legitimate
tripadvisor.ch,12795.0,,,legitimate
solarcom.ch,12724.0,,,legitimate
blick.ch,12718.0,,,legitimate
moneyhouse.ch,12560.0,,,legitimate
